mysql> SELECT DATEDIFF(createdOn , modifiedOn), count(*) FROM AddressBook GROUP BY DATEDIFF(createdOn, modifiedOn) ORDER BY DATEDIFF(createdOn, modifiedOn) ASC;                           
+----------------------------------+----------+
| DATEDIFF(createdOn , modifiedOn) | count(*) |
|                               99 |        1 |
|                              100 |        1 |
|                              101 |        2 |
|                              102 |        1 |
|                              103 |        2 |
|                              104 |        2 |
|                              105 |        2 |
|                              106 |        1 |
|                              107 |        1 |
|                              108 |        3 |
|                              111 |        2 |
|                              112 |        1 |
|                              115 |        1 |
|                              117 |        1 |
|                              118 |        1 |
|                              120 |        1 |
|                              123 |        1 |
|                              124 |        3 |
|                              126 |        2 |
|                              127 |        1 |
|                              130 |        6 |
|                              132 |        3 |
|                              134 |        5 |
|                              135 |        1 |
|                              137 |        2 |
|                              138 |        1 |
|                              139 |        1 |
|                              140 |        4 |
|                              141 |        2 |
|                              143 |        1 |
|                              145 |        1 |
|                              147 |        1 |
|                              150 |        1 |
|                              151 |        1 |
|                              153 |        2 |
|                              154 |        2 |
|                              155 |        2 |
|                              159 |        1 |
|                              160 |        2 |
|                              161 |        4 |
|                              163 |        2 |
|                              165 |        1 |
|                              166 |        2 |
|                              168 |        2 |
|                              171 |        1 |
|                              173 |        2 |
|                              175 |        2 |
|                              176 |        1 |
|                              177 |        3 |
|                              178 |        1 |
|                              179 |        1 |
|                              180 |        1 |
|                              181 |        3 |
|                              182 |        1 |
|                              184 |        3 |
|                              185 |        1 |
|                              186 |        1 |
|                              188 |        3 |
|                              189 |        1 |
|                              190 |        1 |
|                              191 |        1 |
|                              192 |        3 |
|                              193 |        3 |
|                              196 |        1 |
|                              197 |        1 |
|                              198 |        1 |
|                              199 |        2 |
|                              201 |        1 |
|                              202 |        1 |
|                              203 |        3 |
|                              206 |        1 |
|                              207 |        2 |
|                              213 |        2 |
|                              214 |        1 |
|                              215 |        5 |
|                              216 |        1 |
|                              217 |        2 |
|                              218 |        1 |
|                              219 |        1 |
|                              220 |        1 |
|                              222 |        1 |
|                              223 |        1 |
|                              224 |        1 |
|                              225 |        4 |
|                              227 |        2 |
|                              228 |        1 |
|                              229 |        1 |
|                              230 |        2 |
|                              233 |        1 |
|                              234 |        1 |
|                              236 |        3 |
|                              237 |        1 |
|                              238 |        2 |
|                              239 |        1 |
|                              241 |        1 |
|                              242 |        2 |
|                              243 |        1 |
|                              245 |        1 |
|                              247 |        2 |
|                              248 |        1 |
|                              249 |        3 |
|                              250 |        2 |
|                              251 |        2 |
|                              253 |        2 |
|                              254 |        1 |
|                              256 |        1 |
|                              258 |        1 |
|                              260 |        2 |
|                              261 |        4 |
|                              262 |        2 |
|                              263 |        1 |
|                              266 |        2 |
|                              268 |        3 |
|                              269 |        1 |
|                              271 |        1 |
|                              272 |        2 |
|                              273 |        1 |
|                              274 |        1 |
|                              277 |        1 |
|                              281 |        2 |
|                              282 |        2 |
|                              284 |        2 |
|                              285 |        2 |
|                              288 |        1 |
|                              289 |        2 |
|                              291 |        3 |
|                              296 |        1 |
|                              298 |        1 |
|                              299 |        1 |
|                              301 |        1 |
|                              303 |        1 |
|                              306 |        1 |
|                              307 |        1 |
|                              308 |        1 |
|                              309 |        2 |
|                              310 |        1 |
|                              311 |        2 |
|                              312 |        1 |
|                              314 |        4 |
|                              316 |        1 |
|                              317 |        1 |
|                              318 |        2 |
|                              320 |        1 |
|                              321 |        2 |
|                              324 |        3 |
|                              325 |        2 |
|                              326 |        2 |
|                              327 |        1 |
|                              329 |        1 |
|                              330 |        2 |
|                              331 |        1 |
|                              333 |        1 |
|                              335 |        1 |
|                              337 |        3 |
|                              338 |        1 |
|                              340 |        1 |
|                              341 |        1 |
|                              344 |        2 |
|                              345 |        1 |
|                              346 |        1 |
|                              350 |        2 |
|                              352 |        1 |
|                              353 |        2 |
|                              354 |        1 |
|                              355 |        1 |
|                              356 |        3 |
|                              357 |        2 |
|                              361 |        1 |
|                              363 |        1 |
|                              365 |        2 |
|                              368 |        3 |
|                              372 |        1 |
|                              374 |        1 |
|                              376 |        1 |
|                              380 |        1 |
|                              381 |        2 |
|                              382 |        2 |
|                              384 |        1 |
|                              385 |        3 |
|                              391 |        2 |
|                              394 |        1 |
|                              395 |        1 |
|                              396 |        2 |
|                              399 |        1 |
|                              401 |        2 |
|                              402 |        1 |
|                              404 |        1 |
|                              406 |        1 |
|                              407 |        1 |
|                              408 |        2 |
|                              409 |        1 |
|                              410 |        1 |
|                              411 |        1 |
|                              412 |        3 |
|                              413 |        1 |
|                              414 |        1 |
|                              415 |        1 |
|                              416 |        2 |
|                              418 |        1 |
|                              419 |        1 |
|                              420 |        1 |
|                              421 |        1 |
|                              422 |        1 |
|                              424 |        1 |
|                              426 |        1 |
|                              427 |        1 |
|                              429 |        1 |
|                              430 |        2 |
|                              431 |        1 |
|                              432 |        2 |
|                              433 |        1 |
|                              438 |        1 |
|                              442 |        2 |
|                              447 |        3 |
|                              451 |        1 |
|                              452 |        1 |
|                              453 |        2 |
|                              454 |        2 |
|                              457 |        1 |
|                              459 |        1 |
|                              460 |        1 |
|                              462 |        1 |
|                              468 |        1 |
|                              469 |        1 |
|                              471 |        1 |
|                              476 |        1 |
|                              477 |        1 |
|                              478 |        2 |
|                              482 |        2 |
|                              485 |        1 |
|                              489 |        1 |
|                              490 |        3 |
|                              491 |        1 |
|                              492 |        1 |
|                              499 |        1 |
|                              500 |        1 |
|                              505 |        1 |
|                              507 |        1 |
|                              509 |        1 |
|                              520 |        1 |
|                              522 |        1 |
|                              523 |        1 |
|                              527 |        1 |
|                              528 |        1 |
|                              529 |        1 |
|                              530 |        1 |
|                              537 |        1 |
|                              538 |        1 |
|                              543 |        1 |
|                              544 |        1 |
|                              554 |        1 |
|                              555 |        1 |
|                              571 |        1 |
|                              572 |        2 |
|                              576 |        1 |
|                              578 |        1 |
|                              581 |        2 |
|                              586 |        1 |
|                              587 |        1 |
|                              591 |        1 |
|                              598 |        1 |
|                              599 |        1 |
|                              601 |        1 |
|                              602 |        1 |
|                              606 |        1 |
|                              609 |        1 |
|                              615 |        1 |
|                              621 |        1 |
|                              624 |        1 |
|                              628 |        1 |
|                              639 |        1 |
|                              648 |        1 |
|                              651 |        2 |
|                              652 |        1 |
|                              666 |        1 |
|                              684 |        1 |
|                              687 |        1 |
|                              703 |        1 |
|                              722 |        1 |
+----------------------------------+----------+
698 rows in set (0.01 sec)
